Step	Volume(Å³)	Pressure(GPa)	MeanForce(eV/Å)	MaxForce(eV/Å)	Stress_xx(GPa)	Stress_yy(GPa)	Stress_zz(GPa)	TotalEnergy(eV)	Temperature(K)
118	52.120312	3.628600	1.035857	1.324304	2.763730	4.719160	3.402908	-14.409118	179.40
119	52.120312	3.683532	1.061751	1.338907	2.852413	4.804264	3.393919	-14.409028	170.65
120	52.120312	3.532058	1.054410	1.303881	2.760338	4.634916	3.200921	-14.409096	195.53
121	52.120312	3.187676	1.011486	1.242046	2.495514	4.226958	2.840558	-14.409316	251.94
122	52.120312	2.692820	0.935630	1.154815	2.095318	3.628391	2.354750	-14.409651	333.20
123	52.120312	2.111682	0.833495	1.026019	1.618807	2.912563	1.803678	-14.410040	429.13
124	52.120312	1.519478	0.714318	0.865425	1.135651	2.166801	1.255982	-14.410418	527.85
125	52.120312	0.988729	0.588899	0.687652	0.712447	1.476970	0.776771	-14.410728	617.71
126	52.120312	0.577535	0.471120	0.637144	0.398942	0.914654	0.419008	-14.410933	689.06
127	52.120312	0.328688	0.388224	0.689465	0.228320	0.537552	0.220191	-14.411022	735.33
128	52.120312	0.257854	0.396184	0.739461	0.207186	0.376460	0.189916	-14.410996	753.57
129	52.120312	0.356875	0.488580	0.777854	0.320502	0.432434	0.317688	-14.410872	744.36
130	52.120312	0.598100	0.602092	0.796931	0.537287	0.681707	0.575306	-14.410674	711.35
131	52.120312	0.939312	0.707996	0.804175	0.815365	1.081119	0.921452	-14.410432	660.57
132	52.120312	1.325046	0.796027	0.949741	1.103562	1.567025	1.304551	-14.410179	599.41
133	52.120312	1.701699	0.861964	1.071918	1.356997	2.075322	1.672777	-14.409941	535.72
134	52.120312	2.027363	0.904346	1.163351	1.545149	2.552988	1.983953	-14.409745	476.84
135	52.120312	2.271500	0.924101	1.218387	1.651547	2.956152	2.206803	-14.409613	428.82
136	52.120312	2.416489	0.925255	1.233350	1.671065	3.254419	2.323983	-14.409564	395.66
137	52.120312	2.460362	0.914832	1.207016	1.614790	3.431943	2.334352	-14.409601	378.85
138	52.120312	2.417888	0.899193	1.141425	1.510086	3.491125	2.252453	-14.409713	377.24
139	52.120312	2.313747	0.880234	1.042792	1.391159	3.446064	2.104019	-14.409877	387.46
